ID,Case Name,Filing Year,Description,Case Categories,Principal Laws
7617,Sierra Club v. EPA,2018,"Freedom of Information lawsuit seeking external communications and meeting records for EPA staff that Sierra Club alleged had ""troubling ties to polluting industries.""",Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Environmentalist Interests,Sierra Club v. EPA
7622,Tongass Conservation Society v. Cole,2009,"Action to compel preparation of a site-specific supplemental environmental impact statement for a timber sale in the Tongass National Forest based on, among other things, new information about the role of climate change in yellow cedar decline.",Federal Statutory Claims>NEPA,Tongass Conservation Society v. Cole
7694,Colorado v. U.S. Fish &amp; Wildlife Service,2015,Challenge to the listing of the Gunnison sage-grouse as a threatened species.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Colorado v. U.S. Fish &amp; Wildlife Service
7743,"Mexichem Fluor, Inc. v. EPA",2017,Challenge to 2016 rule expanding the scope of 2015 regulations that classified hydrofluorocarbons (HFCs) and HFC blends as unacceptable for certain uses pursuant to the Significant New Alternatives Program (SNAP) under Clean Air Act Section 612.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Other Regulation,"Mexichem Fluor, Inc. v. EPA"
7752,Delaware Riverkeeper Network v. Federal Energy Regulatory Commission,2018,Challenge to FERC authorization of PennEast Pipeline project.,Federal Statutory Claims>NEPA,Delaware Riverkeeper Network v. Federal Energy Regulatory Commission
7766,Rocky Mountain Wild v. Bernhardt,2018,Challenge to 121 oil and gas leases in and around the Uinta Basin in northwestern Colorado and northeastern Utah.,Federal Statutory Claims>NEPA,Rocky Mountain Wild v. Bernhardt
7770,California v. Bernhardt,2018,Challenge to BLM's repeal of key provisions of the 2016 Waste Prevention Rule for oil and gas development on public and tribal lands.,Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,California v. Bernhardt
7777,Center for Biological Diversity v. U.S. Department of State,2018,Freedom of Information Act lawsuit seeking to compel disclosure of records regarding aircraft emissions standards and U.S. participation in the 2016 International Civil Aviation Organization (ICAO) carbon dioxide rulemaking process.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Environmentalist Interests,Center for Biological Diversity v. U.S. Department of State
7780,Rosebud Sioux Tribe v. U.S. Department of State,2018,Challenge to presidential permit for Keystone XL pipeline.,Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,Rosebud Sioux Tribe v. U.S. Department of State
7783,Center for Biological Diversity v. Tennessee Valley Authority,2018,"Challenge to Tennessee Valley Authority's changes to rate structure, which plaintiffs alleged would discourage investment in renewable energy and energy efficiency.",Federal Statutory Claims>NEPA,Center for Biological Diversity v. Tennessee Valley Authority
7786,"Millennium Bulk Terminals Longview, LLC v. Washington State Department of Ecology",2018,Lawsuit challenging Washington Department of Ecology's denial of water quality certification for coal export terminal and alleging denial was based on improper grounds.,State Law Claims>Industry Lawsuits|Federal Statutory Claims>Clean Water Act|State Law Claims>State Impact Assessment Laws,"Millennium Bulk Terminals Longview, LLC v. Washington State Department of Ecology"
7789,Sierra Club v. County of San Diego,2018,"Challenge to San Diego County's approval of residential developments, allegedly without complying with requirements for enforceable measures to mitigate greenhouse gas emissions.",State Law Claims>State Impact Assessment Laws,Sierra Club v. County of San Diego
7793,Columbia Riverkeeper v. U.S. Department of Energy,2018,Freedom of Information Act lawsuit seeking disclosure of documents related to proposed methanol refinery.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Environmentalist Interests,Columbia Riverkeeper v. U.S. Department of Energy
7825,General Land Office of State of Texas v. U.S. Fish &amp; Wildlife Service,2017,Lawsuit challenging continued listing of golden-cheeked warbler as an endangered species.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,General Land Office of State of Texas v. U.S. Fish &amp; Wildlife Service
7874,SF Chapter of A. Philip Randolph Institute v. EPA,2007,Action seeking order prohibiting the Bay Area Air Quality Management District from issuing permits for two proposed natural gas-fired power plants and compelling EPA to determine whether carbon dioxide endangers public health or welfare.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits|Common Law Claims|Constitutional Claims>Fourteenth Amendment,SF Chapter of A. Philip Randolph Institute v. EPA
7878,Montana Environmental Information Center v. Johanns,2007,Action to bar the Rural Utilities Service from issuing loans for the construction of new coal-fired power plant pending compliance with the National Environmental Policy Act and National Historic Preservation Act.,Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,Montana Environmental Information Center v. Johanns
7882,Dean v. Kansas Department of Health &amp; Environment,2007,Petitions filed to compel setting of carbon dioxide emissions standards in connection with company's plan to construct coal-fired power plants.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Dean v. Kansas Department of Health &amp; Environment
7889,In re ConocoPhillips Co.,2007,"Challenge to Prevention of Significant Deterioration permit for refinery expansion, including on the grounds that the permit did not set emissions limitations for greenhouse gases.",Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,In re ConocoPhillips Co.
7908,Sunflower Electric Power Corp. v. Kansas Department of Health &amp; Environment,2007,"Challenge to denial of permits for construction of coal-fired generators at power plant in southwest Kansas, which were denied based on concerns about emerging information about the contribution of greenhouse gases to climate change.",Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Other Regulation,Sunflower Electric Power Corp. v. Kansas Department of Health &amp; Environment
7911,"Tri-State Generation &amp; Transmission Association, Inc. v. Kansas Department of Health &amp; Environment",2007,"Challenge to denial of permits for construction of coal-fired generators at power plant in southwest Kansas, which were denied based on concerns about emerging information about the contribution of greenhouse gases to climate change.",Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Other Regulation,"Tri-State Generation &amp; Transmission Association, Inc. v. Kansas Department of Health &amp; Environment"
7920,"Friends of the Chattahoochee, Inc. v. Longleaf Energy Associates, LLC",2008,"Challenge to permit for 1,200 MW coal-fired power plant.",Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,"Friends of the Chattahoochee, Inc. v. Longleaf Energy Associates, LLC"
7924,In re Otter Tail Power Co.,2006,Challenge to permit for construction of 600 megawatt coal-fired electric generating plant in South Dakota.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits|State Law Claims>Utility Regulation,In re Otter Tail Power Co.
7931,Utah Chapter of the Sierra Club v. Air Quality Board,2008,Challenge to approval order for coal-fired power plant in Utah.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Utah Chapter of the Sierra Club v. Air Quality Board
7934,Montana Environmental Information Center v. Montana Department of Environmental Quality,2008,Challenge to air quality permit for coal-fired power plant in Montana for failure to impose limits on greenhouse gas emissions.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Montana Environmental Information Center v. Montana Department of Environmental Quality
7938,"In re Christian County Generation, LLC",2007,Challenge to prevention of significant deterioration permit for a coal-fired power plant in Illinois for failing to include limitations on greenhouse gas emissions.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,"In re Christian County Generation, LLC"
7942,In re Deseret Power Electric Cooperative,2007,Challenge to prevention of significant deterioration permit for a waste coal-fired power plant in Utah.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,In re Deseret Power Electric Cooperative
7945,Citizens for Environmental Inquiry v. Department of Environmental Quality,2008,Lawsuit to compel the Michigan Department of Environmental Quality to regulate carbon dioxide emissions.,State Law Claims>Environmentalist Lawsuits,Citizens for Environmental Inquiry v. Department of Environmental Quality
7950,"Citizens Action Coalition of Indiana, Inc. v. PSI Energy, Inc. d/b/a Duke Energy Indiana, Inc.",2007,"Challenge to approval for construction of integrated gasification combined cycle electric power plant at Edwardsport facility in Knox County, Indiana.",State Law Claims>Environmentalist Lawsuits|State Law Claims>Utility Regulation,"Citizens Action Coalition of Indiana, Inc. v. PSI Energy, Inc. d/b/a Duke Energy Indiana, Inc."
7955,"In re Duke Energy Indiana, Inc.",2008,Challenge to air permit for integrated gasification combined cycle electric generating facility at Edwardsport Generating Station in Indiana.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,"In re Duke Energy Indiana, Inc."
7962,Appalachian Voices v. Bodman,2008,"Lawsuit alleging failure to comply with NEPA and the Endangered Species Act when allocating tax credits for experimental coal-based energy projects and asking for revocation of credits pending NEPA review, including review of carbon emissions.",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>NEPA,Appalachian Voices v. Bodman
7966,"North Carolina Waste Awareness &amp; Reduction Network, Inc. v. N.C. Department of Environment &amp; Natural Resources",2008,Challenge to air permits for new coal-fired unit at power plant in North Carolina.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,"North Carolina Waste Awareness &amp; Reduction Network, Inc. v. N.C. Department of Environment &amp; Natural Resources"
7978,In re Desert Rock Energy Co.,2008,"Challenge to prevention of significant deterioration permit for construction of new 1,500-megawatt coal-fired electric generating facility in New Mexico.",Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,In re Desert Rock Energy Co.
7987,"Sierra Club v. U.S. Department of Agriculture, Rural Utilities Service",2007,Challenge to approvals for expansion project at coal-fired power plant in western Kansas,Federal Statutory Claims>NEPA,"Sierra Club v. U.S. Department of Agriculture, Rural Utilities Service"
7995,CleanCOALition v. TXU Power,2006,Citizen suit against companies seeking air permits for coal-fired power plant project in Texas.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,CleanCOALition v. TXU Power
8000,Appalachian Voices v. State Air Pollution Control Board,2008,Challenge to air permits for coal-fired power plant in Virginia.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Appalachian Voices v. State Air Pollution Control Board
8009,In re Seminole Electric Cooperative Inc.,2008,"Challenge to prevention of significant deterioration permit issued by Florida Department of Environmental Protection for new coal-fired unit at existing power plant, including for failure to including carbon dioxide emissions limit.",Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,In re Seminole Electric Cooperative Inc.
8017,Sunflower Electric Power Corp. v. Sebelius,2008,Constitutional challenge to Kansas officials' actions denying authorization for construction of coal-fired power plants based on potential carbon dioxide emissions.,Constitutional Claims>Commerce Clause|Constitutional Claims>Fourteenth Amendment,Sunflower Electric Power Corp. v. Sebelius
8025,Palm Beach County Environmental Coalition v. Florida,2008,Challenge to federal and state approvals for new natural gas power plant and related pipeline.,State Law Claims>Environmentalist Lawsuits|Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits|Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>Clean Water Act|Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,Palm Beach County Environmental Coalition v. Florida
8040,Sierra Club v. EPA,2009,"Lawsuits challenging EPA actions concerning what pollutants are ""subject to regulation"" under the Clean Air Act's prevention of significant deterioration permitting program.",Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Sierra Club v. EPA
8044,In re Northern Michigan University Ripley Heating Plant,2008,Challenge to a prevention of significant deterioration permit for a new boiler at Northern Michigan University's campus in Marquette.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,In re Northern Michigan University Ripley Heating Plant
8047,People of the State of New York v. Exxon Mobil Corporation,2015,Action alleging fraudulent scheme by Exxon Mobil Corporation to deceive investors about the company's management of risks posed by climate change regulation.,State Law Claims>Enforcement Cases|Securities and Financial Regulation,People of the State of New York v. Exxon Mobil Corporation
8051,Environmental Defense Fund v. South Carolina Board of Health &amp; Environmental Control,2009,"Challenge to air permit granted for coal-fired generation facility in South Carolina, including on grounds that the permit failed to control carbon dioxide emissions.",Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Environmental Defense Fund v. South Carolina Board of Health &amp; Environmental Control
8056,"Hempstead County Hunting Club, Inc. v. Arkansas Public Service Commission",2008,"Appeal of Arkansas Public Service Commission's grant of a Certificate of Environmental Compatibility and Public Need for construction, maintenance, and operation of an ultra-supercritical coal-fired baseload electric generation facility.",State Law Claims>Utility Regulation,"Hempstead County Hunting Club, Inc. v. Arkansas Public Service Commission"
8060,"In re MGP Ingredients of Illinois, Inc.",2009,"Challenge to prevention of significant deterioration permit for facility in Illinois, including on grounds that the permit should have included emissions limits for carbon dioxide.",Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,"In re MGP Ingredients of Illinois, Inc."
8108,Willmeng v. City of Thornton,2018,First Amendment lawsuit brought by two Colorado residents against Colorado city and its mayor pro tem for blocking their comments about hydraulic fracturing.,Climate Change Protesters and Scientists>Protesters|Constitutional Claims>First Amendment,Willmeng v. City of Thornton
8117,Alliance for the Wild Rockies v. Pena,2016,"Challenge to the U.S. Forest Service's approval of a restoration, logging, and timber sale venture in the Colville National Forest.",Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,Alliance for the Wild Rockies v. Pena
8121,Natural Resources Defense Council v. Zinke,2003,"Endangered Species Act citizen suit challenging the renewal, implementation, and approval of renewal and implementation of certain long-term water contracts.",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Natural Resources Defense Council v. Zinke
8128,Wishtoyo Foundation v. United Water Conservation District,2016,Endangered Species Act citizen suit alleging that water diversions and infrastructure harm steelhead and flycatcher.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Wishtoyo Foundation v. United Water Conservation District
8136,Communities for a Better Environment v. South Coast Air Quality Management District,2017,Challenge to approval of refinery project in Los Angeles County.,State Law Claims>State Impact Assessment Laws,Communities for a Better Environment v. South Coast Air Quality Management District
8156,Animal Legal Defense Fund v. United States,2018,Claims against the federal government alleging violations of a constitutional right to wilderness and seeking order requiring the government to prepare and implement a remedial plan to mitigate climate change impacts.,Constitutional Claims>First Amendment|Constitutional Claims>Fifth Amendment|Constitutional Claims>Fourteenth Amendment|Constitutional Claims>Other Constitutional Claims,Animal Legal Defense Fund v. United States
8158,Center for Biological Diversity v. U.S. Fish &amp; Wildlife Service,2018,Lawsuit seeking to compel designation of critical habitat for western yellow-billed cuckoo.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Center for Biological Diversity v. U.S. Fish &amp; Wildlife Service
8162,Klamath-Siskiyou Wildlands Center v. Grantham,2018,Lawsuit challenging U.S. Forest Service plan to reduce wildfire risk.,Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,Klamath-Siskiyou Wildlands Center v. Grantham
8173,"Smith v. Keurig Green Mountain, Inc.",2018,"Class action lawsuit alleging that defendant misrepresented the recyclability of single-use ""coffee pods,"" which the complaint alleged have numerous negative effects, including contributing to methane emissions.",State Law Claims>Other Types of State Law Cases,"Smith v. Keurig Green Mountain, Inc."
8176,"Argos Properties II, LLC v. City Council for Virginia Beach",2018,Developer's lawsuit challenging City of Virginia Beach's denial of application to rezone property for residential development on the grounds that the developer failed to account for sea level rise in its stormwater analysis.,Adaptation>Challenges to adaptation measures,"Argos Properties II, LLC v. City Council for Virginia Beach"
8191,"Pacific Coast Federation of Fishermen's Associations, Inc. v. Chevron Corp.",2018,"Action by a commercial fishing industry trade group to hold fossil fuel companies liable for adverse climate change impacts to the ocean off the coasts of California and Oregonthat resulted in ""prolonged closures"" of Dungeness crab fisheries.",Adaptation>Actions seeking money damages for losses|Common Law Claims,"Pacific Coast Federation of Fishermen's Associations, Inc. v. Chevron Corp."
8253,United States v. Aux Sable Liquid Products LP,2018,Clean Air Act enforcement action against natural gas processing plant in Illinois.,Federal Statutory Claims>Clean Air Act>Enforcement Actions,United States v. Aux Sable Liquid Products LP
8277,Center for Biological Diversity v. EPA,2019,"Challenge to prevention of significant deterioration air permit for natural gas-fired power plant in Palmdale, California.",Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Center for Biological Diversity v. EPA
8313,Center for Biological Diversity v. EPA,2018,Lawsuit alleging that EPA violated Clean Water Act by failing to identify waters off the coast of Oregon as impaired by ocean acidification.,Federal Statutory Claims>Clean Water Act,Center for Biological Diversity v. EPA
8316,Barnes v. Edison International,2018,Securities class action against utility company in Southern California alleging misrepresentations regarding exposure to wildfire risk.,Adaptation>Actions seeking money damages for losses|Securities and Financial Regulation,Barnes v. Edison International
8319,Idaho Conservation League v. U.S. Forest Service,2018,Challenge to approval of a mining exploration project.,Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,Idaho Conservation League v. U.S. Forest Service
8322,Union of Concerned Scientists v. U.S. Department of Energy,2018,Freedom of Information Act lawsuit seeking correspondence and other records related to potential federal coal and nuclear subsidies.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Environmentalist Interests,Union of Concerned Scientists v. U.S. Department of Energy
8325,Defenders of Wildlife v. U.S. Department of the Interior,2018,Freedom of Information Act lawsuit seek documents about plans for fossil fuel development on the Coastal Plain of the Arctic National Wildlife Refuge.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Environmentalist Interests,Defenders of Wildlife v. U.S. Department of the Interior
8338,Competitive Enterprise Institute v. Regents of the University of California,2018,Lawsuit seeking correspondence and other records of UCLA Law School professors in connection with alleged work with outside parties to develop legal cases against opponents of climate change regulation.,State Law Claims>Freedom of Information/Public Records,Competitive Enterprise Institute v. Regents of the University of California
8341,California Native Plant Society v. County of San Diego,2018,Challenge to San Diego County approvals for residential and commercial development project.,State Law Claims>State Impact Assessment Laws,California Native Plant Society v. County of San Diego
8390,County of Butte v. Department of Water Resources,2008,Lawsuit alleging failure to consider the environmental effects of climate change on the operation of the Oroville Dam and related facilities. ,Adaptation>Reverse Impact Assessment|State Law Claims>State Impact Assessment Laws,County of Butte v. Department of Water Resources
8397,Center for Biological Diversity v. Bernhardt,2018,Challenge to federal actions authorizing oil and gas development project in the Beaufort Sea offshore of Alaska.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,Center for Biological Diversity v. Bernhardt
8400,Environmental Defense Fund v. U.S. Department of Transportation,2018,Freedom of Information Act lawsuit seeking U.S. Department of Transportation officials' calendars and correspondence related to proposed and anticipated actions to roll back greenhouse gas and fuel efficiency standards for vehicles.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Environmentalist Interests,Environmental Defense Fund v. U.S. Department of Transportation
8403,Natural Resources Defense Council v. EPA,2018,Freedom of Information Act lawsuit seeking records related to the U.S. Environmental Protection Agency's model for assessing the cost and effectiveness of greenhouse gas emission standards.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Environmentalist Interests,Natural Resources Defense Council v. EPA
8433,iMatter Utah v. Njord,2011,Challenge by environmental groups wishing to organize marches to raise climate change awareness to constitutionality of Utah regulations requiring them to obtain insurance and sign an indemnification form.,Climate Change Protesters and Scientists>Protesters,iMatter Utah v. Njord
8439,Peekema v. Bay Area Air Quality Management District,2009,Action challenging the right of defendant Bay Area Air Quality Management District (BAAQMD) to impose fees on entities that emit greenhouse gases in the district.,State Law Claims>Other Types of State Law Cases,Peekema v. Bay Area Air Quality Management District
8458,Birckhead v. Federal Energy Regulatory Commission,2018,"Challenge to FERC approval of project involving construction and replacement of natural gas compression facilities in West Virginia, Kentucky, and Tennessee.",Federal Statutory Claims>NEPA,Birckhead v. Federal Energy Regulatory Commission
8461,Protect Wine Country v. County of Riverside,2014,"Challenge to Riverside County's approval of a Wine Country Community Plan, including for failure to adequately evaluate project impacts on greenhouse gas emissions.",State Law Claims>State Impact Assessment Laws,Protect Wine Country v. County of Riverside
8481,Colorado Automobile Dealers Association v. Colorado Department of Public Health &amp; Environment,2019,Challenge to Colorado’s adoption of California’s low emission vehicle emission standards (LEV III) for light-duty passenger vehicles and trucks and medium-duty passenger vehicles. ,State Law Claims>Industry Lawsuits,Colorado Automobile Dealers Association v. Colorado Department of Public Health &amp; Environment
8498,Ksanka Kupaqa Xaʾⱡȼin v. U.S. Fish &amp; Wildlife Service,2019,Lawsuit alleging that agencies violated the Endangered Species Act when they approved a silver and copper mine project in Montana in one of the last remaining undisturbed habitats in the region for the threatened grizzly bear and bull trout.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Ksanka Kupaqa Xaʾⱡȼin v. U.S. Fish &amp; Wildlife Service
8503,"New York City Employees’ Retirement System v. TransDigm Group, Inc.",2018,Lawsuit by New York City pension funds to compel aerospace company to include climate change-related shareholder proposal in its proxy materials.,Securities and Financial Regulation,"New York City Employees’ Retirement System v. TransDigm Group, Inc."
8516,Post Sustainability Institute v. Association of Bay Area Governments,2013,,State Law Claims>Other Types of State Law Cases,Post Sustainability Institute v. Association of Bay Area Governments
8538,Friends of Animals v. U.S. Fish &amp; Wildlife Service,2018,Lawsuit to compel the U.S. Fish and Wildlife Service to designate critical habitat for the western distinct population segment of the yellow-billed cuckoo.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Friends of Animals v. U.S. Fish &amp; Wildlife Service
8541,People v. Berlin,2016,Prosecution of protesters of the Algonquin Incremental Market pipeline project who locked themselves in section of pipeline.,Climate Change Protesters and Scientists>Protesters,People v. Berlin
8550,"Natural Resources Defense Council, Inc. v. Bernhardt",2019,Challenge to U.S. Fish and Wildlife Service's failure to designate critical habitat for the rusty patched bumble bee.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,"Natural Resources Defense Council, Inc. v. Bernhardt"
8599,Resource Renewal Institute v. National Park Service,2016,"Action to require the preparation of a new or revised General Management Plan for the Point Reyes National Seashore that fully addressed the impacts of livestock ranching and other issues, including climate change.",Adaptation>Actions seeking adaptation measures|Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,Resource Renewal Institute v. National Park Service
8647,Beverlywood Homes Association v. City of Los Angeles,2015,Challenge to approvals by the City of Los Angeles for a development project in Century City that included a 37-story office tower.,State Law Claims>State Impact Assessment Laws,Beverlywood Homes Association v. City of Los Angeles
8655,"California Fueling, LLC v. Best Energy Solutions &amp; Technology Corp.",2018,Lawsuit alleging conspiracy and fraud by defendants who produced and marketed an additive to reduce nitrogen oxides emissions associated with biodiesel.,State Law Claims>Other Types of State Law Cases,"California Fueling, LLC v. Best Energy Solutions &amp; Technology Corp."
8659,Center for Biological Diversity v. Salazar,2007,"Challenge to biological opinion analyzing impacts of Arizona military installation on endangered bird and plant, including for failure to consider climate change.",Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Center for Biological Diversity v. Salazar
8674,Environmental Law &amp; Policy Center v. EPA,2019,Citizen suit challenging EPA's alleged inaction regarding Ohio Environmental Protection Agency's failure to develop a Total Maximum Daily Load for western Lake Erie or otherwise address western Lake Erie's impairment.,Federal Statutory Claims>Clean Water Act,Environmental Law &amp; Policy Center v. EPA
8698,Dakota Rural Action v. U.S. Department of Agriculture,2018,Lawsuit challenging the U.S. Department of Agriculture Farm Service Agency (FSA) rule that categorically excluded FSA funding of medium-sized concentrated animal feeding operations from NEPA review.,Federal Statutory Claims>NEPA,Dakota Rural Action v. U.S. Department of Agriculture
8702,East Sacramento Partnership for a Livable City v. City of Sacramento,2014,Challenge to environmental review for residential infill development in City of Sacramento.,State Law Claims>State Impact Assessment Laws,East Sacramento Partnership for a Livable City v. City of Sacramento
8721,Friends of Big Bear Valley v. County of San Bernardino,2015,"Challenge to approval of changes to a proposed residential development on Big Bear Lake, including for failure to consider the project's impact on climate change.",State Law Claims>State Impact Assessment Laws,Friends of Big Bear Valley v. County of San Bernardino
8727,Friends of the Santa Clara River v. County of Los Angeles,2017,"Challenge to Los Angeles County's determination that mitigation measures adopted by Newhall Ranch developer had reduced the greenhouse gas impacts of two ""villages"" within the project to less than significance.",Adaptation>Reverse Impact Assessment|State Law Claims>State Impact Assessment Laws,Friends of the Santa Clara River v. County of Los Angeles
8736,"Keep the Code, Inc. v. County of Mendocino",2012,"Challenge to California Environmental Quality Act review for an expanded quarry, asphalt processing facility, quarry reclamation project, and related zoning actions.",State Law Claims>State Impact Assessment Laws,"Keep the Code, Inc. v. County of Mendocino"
8753,Save the Colorado v. Semonite,2018,Challenge to dam project in Boulder County in Colorado.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>Clean Water Act|Federal Statutory Claims>NEPA,Save the Colorado v. Semonite
8765,Vaughn v. Federal Aviation Administration,2016,Challenge to environmental review for plan to redesign air-traffic control procedures and flight paths at southern California airports.,Federal Statutory Claims>NEPA,Vaughn v. Federal Aviation Administration
8784,Sound Action v. U.S. Army Corps of Engineers,2018,"Lawsuit challenging the U.S. Army Corps of Engineers decision to reject a recommended change to the ""high tide line"" used by the Seattle District to determine the scope of its Section 404 jurisdiction.",Federal Statutory Claims>Clean Water Act|Adaptation>Actions seeking adaptation measures,Sound Action v. U.S. Army Corps of Engineers
8792,LaPlante v. State,2016,Lawsuit seeking compensation from State of New Jersey for property value allegedly lost due to construction of dune system.,Adaptation>Challenges to adaptation measures,LaPlante v. State
8794,"Hawai‘i Solar Energy Association v. Department of Business, Economic Development and Tourism",2018,Challenge to Hawai‘i's implementation of a law mandating inclusion of solar water heaters in new single-family homes. ,State Law Claims>Environmentalist Lawsuits,"Hawai‘i Solar Energy Association v. Department of Business, Economic Development and Tourism"
8816,Growth Energy v. EPA,2019,"Challenge to EPA’s 2019 percentage standards for the Renewable Fuel Standard program and volume requirements for cellulosic biofuel, advanced biofuel, and total renewable fuel for 2019, and the applicable volume of biomass-based diesel for 2020.",Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits|Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Renewable Fuel Standards,Growth Energy v. EPA
8838,York County v. Rambo,2019,Federal securities class action brought by bond investors in PG&E in connection with California wildfires in 2017 and 2018.,Adaptation>Actions seeking adaptation measures|Securities and Financial Regulation,York County v. Rambo
8841,Natural Resources Defense Council v. Ross,2019,Lawsuit to compel final listing determination under the Endangered Species Act for the Gulf of Mexico whale.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Natural Resources Defense Council v. Ross
8844,Center for Biological Diversity v. National Oceanic &amp; Atmospheric Administration,2019,Freedom of Information Act lawsuit seeking records concerning denial of petition to list the climate change-threatened Pacific Bluefin tuna as threatened or endangered.,Federal Statutory Claims>Freedom of Information Act>Lawsuits Brought by Plaintiffs Aligned with Environmentalist Interests,Center for Biological Diversity v. National Oceanic &amp; Atmospheric Administration
8849,350 Montana v. Haaland,2019,Challenge to new environmental review conducted for re-approval of mining plan modification allowing expansion of an underground coal mine in Montana.,Federal Statutory Claims>NEPA,350 Montana v. Haaland
8852,Von Oeyen v. Southern California Edison Co.,2019,Lawsuit seeking damages from utility and owner of former rocket engine test and nuclear research facility in connection with destruction of homes and other property by the Woolsey Fire in Malibu.,Adaptation>Actions seeking money damages for losses,Von Oeyen v. Southern California Edison Co.
8887,Citizens for a Healthy Community v. U.S. Bureau of Land Management,2017,Challenge to federal actions authorizing oil and gas development in the Bull Mountain Unit in the Colorado River basin.,Federal Statutory Claims>NEPA,Citizens for a Healthy Community v. U.S. Bureau of Land Management
8891,American Stewards of Liberty v. Department of the Interior,2015,Challenge to denial of delisting petition for bone cave harvestman.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,American Stewards of Liberty v. Department of the Interior
8906,Center for Biological Diversity v. U.S. Department of the Interior,2019,Challenge to the U.S. Bureau of Reclamation's issuance of a contract allowing new water extractions from the Green River.,Federal Statutory Claims>NEPA,Center for Biological Diversity v. U.S. Department of the Interior
