Title,Summary,Status,Jurisdictions,Case Categories,Principal Laws,Core Object,Case Permalink
Ministry of Environment and Forestry v. PT Bumi Mekar Hijau,"On February 3, 2015, the Indonesian Ministry of Environment and Forestry (the MoEF) filed a tort-based lawsuit against PT Bumi Mekar Hijau for intentionally causing fires to the peatlands. The MoEF argued that the defendant had intentionally burn the peatlands area to clear the land for timber planting purposes. Thus, the MoEF requested the court to declare that defendant liable for damages amounting to IDR 5.299 trillion and restoration costs for IDR 2.687 trillion. With damages and restoration cost amounting almost to IDR 8 trillion, this lawsuit is ranked among the highest damages in Indonesian forest fires litigation. In relation to climate damages, the MoEF argued that fires on the peatlands had caused in the release of 135,000 tC and 5,670 tCO2. The MoEF set the price for reduction and restoration of carbon on IDR 90,000. Hence, the total of restoration costs for the release of Carbon and Carbon Dioxide, respectively, were IDR 12.2 billion and IDR 4.3 billion. 

On December 30, 2015, District Court of Palembang ruled in favor of the defendant and rejected all the plaintiffs claim. Despite accepting the fact that the fires had occurred, the judges did not consider it as damages and believed the land were still able to be planted. On May 3, 2016, the Court of Appeal overruled the district court decision on the grounds that the damages had occurred in the form of air pollution and damages on the peatlands. The court of appeal also awarded the plaintiff the restoration costs for climate damages in the full amount as requested.
",Decided,['Indonesia>Palembang Court of Appeal'],"['Suits against corporations, individuals>Corporations>Climate damage']",['Indonesia>Environmental Law No.32 of 2009'],Restoration for climate damage caused by palm plantation land clearing.,https://climatecasechart.com/non-us-case/ministry-of-environment-and-forestry-v-pt-bumi-mekar-hijau/
Ministry of Environment and Forestry v. PT Jatim Jaya Perkasa,"On March 23, 2015, the Indonesian Ministry of Environment and Forestry (the MoEF) sued a company of palm oil plantation, namely PT Jatim Jaya Perkasa, for fires occurring covering an area of 1000 hectares. the MoEF argued that the defendant had failed to comply with obligations of having preventive and fires control facilities within its controlled area. Moreover, the plaintiff also argued that the defendant had intentionally set fires on its land for the purpose of making it as the new crop field. Therefore, the plaintiff asked the court to declare that the defendant had conducted an unlawful act and to pay compensation of IDR 371.1 billion for restoration cost and damages. For climate-related damages, the MoEF requested compensation for carbon release and losses of carbon sinks. The MoEF ask the the defendant to pay for compensation of IDR 810 million (9000 tC released) and IDR 283.5 million (3150 tCO2 reduced). 

On June 15, 2016, the District Court of North Jakarta ruled in favor of the plaintiff and held the defendant liable for damages and restoration cost from wildfires in its controlled area. On March 17, 2017, the Jakarta Court of Appeal upheld the district court rulings but annulled the amount of cost which decided by the district court. The Jakarta Court of Appeal held that the fires affected 1000 hectares of concessions area as the plaintiff mentioned on its petition. On June 28, 2018, the Supreme Court upheld the appeal court ruling and rejected the cassation from the defendant. 
",Decided,['Indonesia>North Jakarta District Court'],"['Suits against corporations, individuals>Corporations>Climate damage']",['Indonesia>Environmental Law No.32 of 2009'],Restoration for climate damage caused by palm plantation land clearing.,https://climatecasechart.com/non-us-case/ministry-of-environment-and-forestry-v-pt-jatim-jaya-perkasa/
Ministry of Environment and Forestry v. PT Palmina Utama,"On December 14th, 2016, the Indonesian Ministry of Environment and Forestry (the MoEF) sued a palm oil plantation for fires occurring inside the PT Palmina Utama controlled area. The MoEF claimed that the defendant intentionally set up fires to clear it for the purpose of making it as the new crop field. The MoEF argued that the defendants also infringed on the obligation to control the fires inside its controlled area. Due to the unlawful conduct, the MoEF sought compensation for the damages and cost for restoration. The MoEF asked the court that the defendant liable to compensate for IDR 206.955.000 for the released of 2299,5 tC and IDR 188.689.500 for the losses of carbon sinks. 

On February 21st, 2018, the district court of Banjarmasin ruled in favor of the defendant and reject all the plaintiff petition. The judges argued that the MoEF had failed to show type of soils affected by wildfires. Failure to determine the type of soil would lead to different calculation of damages, said by the Judges. Accordingly, the judges decided that the lawsuit should be denied. On August 15th, 2018, the Banjarmasin Court of Appeal overruled the district court decision and argued that, despite the fact there was indeterminacy on the type of soils, the district court should have ruled that the defendant had negligently controlled the fires within its concessions. ",Decided,['Indonesia>Banjarmasin District Court'],"['Suits against corporations, individuals>Corporations>Climate damage']",['Indonesia>Environmental Law No.32 of 2009'],Restoration for climate damage caused by palm plantation land clearing.,https://climatecasechart.com/non-us-case/ministry-of-environment-and-forestry-v-pt-palmina-utama/
Ministry of Environment and Forestry v. PT Arjuna Utama Sawit,"On December 31st, 2018, the Indonesian Ministry of Environment and Forestry (the MoEF) filed a tort-based lawsuit against a palm oil plantation company, PT Arjuna Utama Sawit. The plaintiff argued that fires occurred inside the defendants concessions area and caused damages to peatlands and ecosystem within. The MoEF claimed that the defendant had deliberately burned the peatlands with the intention of using it for plantation purposes. Moreover, neither the fire early warning system nor the detection system in the defendants concessions area met the requirements, a fact which the plaintiff used as proof of omissions. The MoEF mentioned that fires inside the defendants concessions had caused ecological and economic damages. For these damages, the MoEF requested compensation as high as IDR 243,291.006,270 for the damages and restoration costs. For climate-related damages, the MoEF claimed that the fires had contributed to the release of 4366.98 tC and a loss of function of carbon sinks which equal to 1528 tC. Since cost of released carbon is IDR 90.000 (equals to US$ 10), the MoEF ask for compensation of the released carbon and restoration amounting to IDR 530,588,070. 

On October 21st, 2019, the District Court of Palangkaraya ruled in favor of the plaintiffs and held that the defendant was liable on damages caused by wildfires inside its concessions. On January 22nd, 2020, the Palangkaraya Court of Appeal upheld the district court decision and requested the defendant the same amount of cost for damages and restoration. On December 10th, 2020, the Supreme Court of Indonesia also upheld the district court decision. 
",Decided,['Indonesia>Palangkaraya District Court'],"['Suits against corporations, individuals>Corporations>Climate damage']",['Indonesia>Environmental Law No.32 of 2009'],Restoration for climate damage caused by palm plantation land clearing.,https://climatecasechart.com/non-us-case/ministry-of-environment-and-forestry-v-pt-arjuna-utama-sawit/
Ministry of Environment and Forestry v. PT Asia Palem Lestari,"On September 09th, 2019, the Indonesian Ministry of Environment and Forestry (the MoEF) filed a tort-based lawsuit against a corporation PT Asia Palem Lestari had intentionally set fires to clear the peatland for palm oil plantation. Furthermore, the MoEF also argued that defendants fires preventive facilities did not meet the requirements as regulated in Articles 12, 13, and 14 Indonesian Governmental Regulation No. 4 of 2021. The MoEF argued that fires inside the peatlands led to ecological and economic damages amounting to IDR 173.721 billion. In relation to climate change, the MoEF claimed that the fires had contributed to the release of 2700 tC and a loss of function of carbon sinks which equal to 945 tC. Since the cost of released carbon is IDR 90.000 (equals to US$ 10), the MoEF requested the court costs of the released carbon and restoration amounting to IDR 328.050.000. 

The MoEF filed this lawsuit under strict liability rule of Articles 88 Environmental Protection and Management Act (the 2009 EPMA). 

On January 5th, 2021, the District Court of North Jakarta ruled that the lawsuit should be dismissed due to a lack of parties (plurium litis consortium). The judges found that the area in which the MoEF referred in its lawsuit were also owned by other people. Hence, the plaintiff should have included these peoplewho were also the owner of the burned landin the lawsuit. 
",Decided,['Indonesia>North Jakarta District Court'],"['Suits against corporations, individuals>Corporations>Climate damage']",['Indonesia>Environmental Law No.32 of 2009'],Restoration for climate damage caused by palm plantation land clearing.,https://climatecasechart.com/non-us-case/ministry-of-environment-and-forestry-v-pt-asia-palem-lestari/
Ministry of Environment and Forestry v. PT Rambang Agro Jaya,"On August 1st, 2019, the Indonesian Ministry of Environment and Forestry (the MoEF) filed a tort-based lawsuit against a corporation PT Rambang Agro Jaya for damages caused by fires in the peatlands. The MoEF argued that PT Rambang Agro Jaya drained the peatlands for the purpose of palm plantation which resulted in fires inside the defendants concession area. Furthermore, the MoEF also argued that the defendants had failed to fulfill its obligation to prevent any fires inside its concessions. The MoEF added that these unlawful acts caused damages on ecosystem and the peatlands. Hence, the MoEF sought compensation for all the damages and restoration costs amounting to IDR 199 billion. For the climate damages, the MoEF argued that the fires had contributed to the release of 2,250 tC and a loss of function of carbon sinks which equal to 787.5 tC. Since the cost of each released carbon is IDR 90.000 (equals to US$ 10), the MoEF requested the court costs of the released carbon and restoration amounting to IDR 273.375.000. 

The MoEF filed this lawsuit under strict liability rule of Articles 88 Environmental Protection and Management Act (the 2009 EPMA). 

On January 11th, 2021, the District Court of Central Jakarta ruled in favor of the plaintiff and decided that the defendant was strictly liable. However, the judges did not grant the damages with the same amount as the plaintiff requested. The District Court of Central Jakarta decided to grant the damages and restoration costs as high as IDR 137 billion. 
",Decided,['Indonesia>Central Jakarta District Court'],"['Suits against corporations, individuals>Corporations>Climate damage']",['Indonesia>Environmental Law No.32 of 2009'],Restoration for climate damage caused by palm plantation land clearing.,https://climatecasechart.com/non-us-case/ministry-of-environment-and-forestry-v-pt-rambang-agro-jaya/
Minister of Environment v. PT Selatnasik Indokwarsa and PT Simpang Pesak Indokwarsa,"On April 3, 2009, the Indonesian Ministry of Environment (MoE) filed a tort-based lawsuit against two corporations, PT Selatnasik Indokwarsa and PT Simpang Pesak, for damage caused by illegal mining activities. These activities include clearing of protected forests for road access to mining locations, conducting open-pit mining, building infrastructure within a natural reserve area, and constructing an illegal port by landfilling the coastal area around 1.7 km seaward. The MoE sought compensation for the climate damage caused, i.e., the GHG emissions from the destruction of forest areas, and asked for restoration costs amounting to IDR 11.8 billion (approximately US$824,000). 

On February 3, 2010, the district court granted the plaintiff's entire claim against the defendant, including the compensation of climate damages. On April 18, 2011,  the Court of Appeal upheld the lower court decision. On March 28, 2013, the Supreme Court overturned the lower courts decisions after the defendant filed a cassation. The Supreme Court was of the opinion that the plaintiff failed to prove that the defendants had acted in concert as affiliated companies under the same management. In addition, the Court also argued that the lawsuit was premature since there was no complaint from the public. 

As a last effort, the plaintiff filed a request for extraordinary review (peninjauan kembali) and provided new evidence that the defendants conducted illegal actions. On May 23, 2014, the Supreme Court reviewed its earlier decision and awarded the plaintiff all the restoration costs, including the compensation for GHGs released in the full amount requested by the plaintiff. ",Decided,['Indonesia>North Jakarta District Court'],"['Suits against corporations, individuals>Corporations>Climate damage']",['Indonesia>Environmental Law No.32 of 2009'],Restoration for climate damage from illegal mining activities and deforestation.,https://climatecasechart.com/non-us-case/minister-of-environment-v-pt-selatnasik-indokwarsa-and-pt-simpang-pesak-indokwarsa/
Ministry of Environment and Forestry v. PT Merbau Pelelawan Lestari,"On September 2013, the Indonesian Ministry of Environment and Forestry (MoEF) filed a tort-based lawsuit against a corporation, PT Merbau Pelelawan Lestari, for the release of GHGs emissions. The plaintiffs argued that the defendant's illegal logging had impaired the forests carbon sink capacity. The plaintiff sought compensation for the cost of restoring the damaged forest, specifically its carbon sequestration function. The damage amounted to IDR 240 billion (approximately US$17.2 million) for the total affected area of 7,463 hectares. The defendant argued that it had not carried out any illegal logging and stated that the plaintiff should have given the company administrative sanctions for illegal logging prior to initiating the lawsuit.

On March 3, 2014, the district court of Pekanbaru ruled in favor of the defendant on the ground that the defendant was not proven to have logged forest outside the permit area. Furthermore, the court is of the opinion that the defendant's activities are in accordance with the Environmental Impact Analysis and there is no environmental damage happened in the area. On November 28, 2014, the Court of Appeal upheld the decision. 

On August 18, 2016, the Supreme Court reversed the Court of Appeals decision. The supreme court believed that the area managed by the defendant overextended the permit's area. The Supreme Court referred to expert testimony stating that illegal logging happened in the extended area, one of which is in protected areas. The Supreme Court then awarded the plaintiff the restoration costs for climate damage in the full amount requested by the plaintiff.
",Decided,['Indonesia>Pekanbaru District Court'],"['Suits against corporations, individuals>Corporations>Climate damage', 'Suits against corporations, individuals>Corporations>Environmental assessment and permitting']",['Indonesia>Environmental Law No.32 of 2009'],Cost recovery for illegal logging.,https://climatecasechart.com/non-us-case/ministry-of-environment-and-forestry-v-pt-merbau-pelelawan-lestari/
Yayasan Wahana Lingkungan Hidup Indonesia v. Governor of Bali and others,"In 2012, an environmental organization, Wahana Lingkungan Hidup, filed a lawsuit against the Governor of Bali for issuing a permit to establish tourist accommodation facilities in a mangrove ecosystem area, which is included in a forest park area (Taman Hutan Raya) which is supposed to be excluded from possible commercial use. The plaintiff argued that the issuance of the permit was against the 2009 EPMA and Government Regulation No. 36 of 2010 on Nature Tourism Business in Wildlife Sanctuaries, National Parks, Grand Forest Parks and Nature Tourism Parks because it did not involve the community in the permit application process and had the potential to cause damage to the mangrove ecosystem. The plaintiff argued that the logging of mangrove trees in the permit area can hinder the mangroves function in mitigating climate change since mangrove forests have a much greater ability to absorb CO2 than other tropical land forests.

In response, the defendant argued that the permit was granted to provide an opportunity for a third party to pursue natural tourism within the forest park area to protect and preserve the forest area from potential damage due to garbage and mud. The granting of permits has received technical recommendations from the Natural Resource Conservation Center (Balai Konservasi Sumber Daya Alam).

On August 1, 2013, the Administrative Court of Denpasar ruled in favor of the plaintiff and ordered the cancellation of the permit by the Governor of Bali. On November 28, 2013, the decision was annulled by the Court of Appeal. On May, 2014 the Supreme Court confirmed the annulment of the decision, because the activities in the mangrove area were only at the planning stage, and there had been no actual damage. The courts did not consider climate change in their decisions. 
",Decided,"['Indonesia>Supreme Court', 'Indonesia>Denpasar Administrative Court']","['Suits against corporations, individuals>Corporations>Climate damage', 'Suits against corporations, individuals>Corporations>Environmental assessment and permitting']","['Indonesia>Government Regulation No. 36 of 2010', 'Indonesia>Environmental Law No.32 of 2009', 'UNFCCC']",Whether climate change should be considered as part of actual damage. ,https://climatecasechart.com/non-us-case/yayasan-wahana-lingkungan-hidup-indonesia-v-governor-of-bali-and-others/
Herrera Carrion et al. v. Ministry of the Environment et al. (Caso Mecheros),"On February 18, 2020, a group of nine girls from the provinces of Sucumbios and Orellana filed a constitutional injunction (accion de proteccion) against the government of Ecuador. In their lawsuit, plaintiffs claimed that gas flaring is unlawful, although it can be authorised by exception, and that despite this, the State has made it a common practice, which constitutes a violation of the rights to health, water and food sovereignty, the right to a healthy environment and, the rights of Nature. They furthermore argued that pollution of gas flaring causes serious impacts on the environment and on people's health, damage to biodiversity and the cycles of nature, and contributes to climate change. Plaintiffs requested, inter alia, the annulment of all gas flaring authorizations, the immediate elimination of all flaring towers located in various areas of the Amazon where there is oil activity, and the prohibition of new oil-related flares in the region.

On May 7, 2020, the Court of first instance dismissed the constitutional action due to lack of evidence that justifies the alleged constitutional rights violation. As a response, plaintiffs filed an appeal before the Provincial Court of Justice of Sucumbios. 

On July 29, 2021, the Provincial Court of Justice of Sucumbio accepted the appeal and declared that ""the Ecuadorian State has ignored the right of the plaintiffs to live in a healthy and ecologically balanced environment and their right to health by promoting polluting activities, and by refusing to use environmentally clean and energy-efficient technologies."" The Court indicated that the authorizations for gas flaring, as an activity associated with hydrocarbon production carried out by the Ecuadorian State, disregards various international commitments made by Ecuador in environmental matters, among the most important: Ecuador's Nationally Determined Contributions, carried out during the COP 21 to the United Nations Framework Convention on Climate Change. As a result, the Court ordered to update the plan for the gradual and progressive elimination of the gas flares, with those located in places close to the populated centers being the first to be removed, for which a period of 18 months is granted; with respect to the other gas flares, they should proceed to their progressive elimination until December 2030. In addition, the Ministry of Energy and Non-Renewable Natural Resources may grant authorizations for new clean technologies located away from populated centers.",Decided,"['Ecuador>Family, Women, and Children Judicial Unit of Lago Agrio in the Sucumbios Province', 'Ecuador>Multicompetent Chamber of the Provincial Court of Justice of Sucumbios']","['Suits against governments>Human Rights>Youth/Children', 'Suits against governments>Human Rights>Right to a healthy environment']","['American Convention on Human Rights>San Salvador Protocol', 'Ecuador>Organic Environmental Code', 'UNFCCC>Paris Agreement']",Whether gas flaring resulting from States authorization produces the violation of human rights violations of a group of nine children.,https://climatecasechart.com/non-us-case/herrera-carrion-et-al-v-ministry-of-the-environment-et-al-caso-mecheros/
"Baihua Caiga et. al., v. PetroOriental S.A.","On December 10, 2020, Juana Mintare Baihua Caiga, Pego Enomenga Enomenga, and Juan Pablo Enomenga, as members of the Waorani Nation located in the Miwaguno community, alongside the NGOs Accion Ecologica, Union de Afectados y Afectadas por las Operaciones de Texaco (UDAPT), and the International Federation of Human Rights (FIDH), filed a constitutional injunction called accion de proteccion against the Chinese oil company PetroOriental S.A. The constitutional lawsuit was filed before a Judicial Unit in the canton of Francisco de Orellana, in the Amazon region.

The plaintiffs argued that the gas flaring emanating from an oil concession operated by PetroOriental S.A. is an act that causes constitutional rights violations, specifically because it emits greenhouse gases (GHG) that contribute to climate change. Applicants claimed that climate change produces irregular and unpredictable floods, disturbance in the natural cycles of plants, loss of ancestral knowledge, droughts and other climatic phenomena, all of which have human rights implications. Based on provisions from the Ecuadorian Constitution, national environmental law, the United Nations Declaration on the Rights of Indigenous Peoples, and case law from the Inter-American Court of Human Rights, applicants stressed that the defendant had violated several human rights. These included (i) the rights of nature as GHG emissions altered the carbon cycle, (ii) the right to enjoy a healthy and ecologically balanced environment as climate change breaks down the ecological balance, (iii) the right to food because applicants have seen their food security and food sovereignty diminished, (iv) the right to water because droughts and floods are becoming more extreme and unpredictable, limiting access, quality, quantity and availability of water, (v) the right to health because the scarcity of food and traditional medicines affects the applicants wellbeing, (vi) the right to land and territory because the applicants ability to enjoy natural resources through ancestral practices has been limited, (vii) and the right to life and a dignified life because the applicants existence is threatened, and the minimum conditions to continue with their life projects are not met.
The plaintiffs requested that the court (i) declares that the constitutional rights mentioned were infringed, (ii) orders the prohibition of gas flaring where the defendant operates; and (iii) orders the defendant reparations by financing projects designed by the community to adapt to climate impacts in their territory.

On July 15, 2021, judge Cuacal Galarraga did not admit the constitutional action since the plaintiffs had not sufficiently demonstrated how the actions of the defendant violate the rights of nature or any constitutional right deriving therefrom.",Decided,"['Ecuador>Family, Women, and Children Judicial Unit from Francisco de Orellana Canton']","['Suits against corporations, individuals>Corporations>Climate damage', 'Suits against corporations, individuals>Corporations>GHG emissions reduction']","['American Convention on Human Rights>San Salvador Protocol', 'United Nations Declaration on Indigenous Peoples Rights', 'ILO Indigenous and Tribal Peoples Convention 169', 'Ecuador>Organic Law on Jurisdictional Guarantees and Constitutional Control', 'Ecuador>Constitution', 'UNFCCC>Paris Agreement']",Whether gas flaring resulting from a private companys oil extraction contributes to climate change and associated violations of the rights of nature and the rights of indigenous peoples living in the vicinity of the operations site.,https://climatecasechart.com/non-us-case/baihua-caiga-et-al-v-petrooriental-sa/
All Aboard Aotearoa v Waka Kotahi,"In March 2021, a coalition of climate and transport advocacy groups, All Aboard Aotearoa, filed a judicial review claim against Waka Kotahi/New Zealand Transport Agency. The claimants seek an order setting aside Waka Kotahi's decisions to fund and build Mill Road, a 21.5 km road in southeast Auckland. The claimants asserted that the decisions undermined the government's commitments under the Paris Agreement and the Climate Change Response Act 2002, and that the decision-maker did not properly consider the greenhouse gas emissions of the project.

On June 4, 2021, the Government announced it would not go ahead with the Mill Road project.",Decided,['New Zealand>High Court of New Zealand'],['Suits against governments>Environmental assessment and permitting>Other projects'],"['UNFCCC>Paris Agreement', 'New Zealand>Climate Change Response Act 2002', 'New Zealand>Resource Management Act 1991']",Whether decision to build a road was unlawful under New Zealand's climate commitments. ,https://climatecasechart.com/non-us-case/all-aboard-aotearoa-v-waka-kotahi/
All Aboard Aotearoa v Auckland Transport,"In June 2021, the Planning Committee of Auckland Council, acting on the recommendation of Aucklands Regional Transport Committee (RTC), adopted the Regional Land Transport Plan 2021 (RLTP). Under the RLTP, Aucklands transport emissions are expected to increase 6% between 2016 and 2031, and vehicle kilometers traveled per capita are not expected to decrease. All Aboard Aotearoa (AAA), an NGO, brought an action against the three local government bodies which had proposed, recommended, and adopted the RLTP.

First, AAA alleged that the decision of the RTC to recommend the RLTP was unlawful because the Committee relied on incorrect advice; that the RLTP was inconsistent with New Zealands Land Transport Management Act 2003 (which requires a safe land transport system in the public interest); and that it was inconsistent with New Zealands national Government Policy Statement on Land Transport 2021 (GPS), which contains a strategic priority of transforming to a low carbon transport system. Secondly, AAA challenged the decision of Auckland Councils Planning Committee to approve the RLTP on the basis that the Council had relied on flawed advice; had failed to consider the requirements of New Zealands Local Government Act 2002 (LGA), which requires consideration of the interests of future communities; and had failed to identify that the RLTP was inconsistent with Auckland Councils Climate Emergency Declaration. Third, AAA alleged that the Board of Auckland Transport  the council-controlled organization which had proposed the RLTP  had acted unlawfully because it was not properly informed; and had acted contrary to its statutory purpose (which required it to contribute to an effective, efficient, and safe Auckland land transport system in the public interest).

In July 2022, the Court rejected the challenges against the decisions of all three agencies. First, it found that the RTC had not acted contrary to the purposes of the LTMA. This was because the LTMA made no explicit reference to social, economic, cultural or environmental wellbeing, and that the statute had actually been amended to remove such factors. Next, the Court found that the RTC had not acted inconsistently with the GPS. Although climate change was a strategic priority reflected in the GPS, it did not have primacy over other grounds, such as safety, better travel options, and improving freight connections. The RTC was entitled to balance climate considerations against other factors. The Court also rejected procedural challenges related to the RTCs decision to recommend the RLTP for adoption. The Court also dismissed claims that the Auckland Council Planning Committee had acted unlawfully. It found that the Planning Committees role in the adoption of the RLTP was a limited non-statutory process to which its obligations und er the LGA did not apply. Finally, the Court dismissed the claim against the Board of Auckland Transport on the same basis as it had dismissed the claim against the RTC. 

Whether the adoption of a Regional Land Transport Plan by local government which increased carbon emissions was unlawful on the basis of procedural defects and inconsistency with national statutes.  ",Decided,['New Zealand>High Court of New Zealand'],"['Suits against governments>GHG emissions reduction and trading>Other', 'Suits against governments>Environmental assessment and permitting>Other projects']","['New Zealand>Land Transport Management Act 2003', 'New Zealand>Local Government Act 2002', 'UNFCCC>Paris Agreement', 'New Zealand>Climate Change Response Act 2002']",Whether the adoption of a Regional Land Transport Plan by local government which increased carbon emissions was unlawful on the basis of procedural defects and inconsistency with national statutes.,https://climatecasechart.com/non-us-case/all-aboard-aotearoa-v-auckland-transport/
Associacao Brasileira dos Membros do Ministerio Publico de Meio Ambiente vs. Ministro de Estado do Meio Ambiente ADPF 814,"On March 19, 2020, ABRAMPA (Brazilian Association of Members of the Public Ministry of the Environment), a non-profit civil association, filed the Claim for Noncompliance with a Fundamental Precept (ADPF) in light of Federal Decree 10.143/2019 and Ministry of the Environment (MMA) Ordinance 575/2020, to suspend the effects of the change in the composition of the Management Committee of the National Climate Change Fund (Climate Fund) and its deliberative procedure, in view of the provisions of articles 1; 5th, Inc. I and XXXVI; 14; 37; 60, 4 and inc. I; 193 and 225 of the Federal Constitution.

The proponents allege that such changes reduced the transparency of the deliberative process of the collegiate body and reduced its representativeness, violating the federative, democratic and popular participation principles. The participation of States and Municipalities in the committee was eliminated. The participation of civil society interested in combating climate change was also considerably reduced, since representatives of the scientific community, non-governmental organizations working on the climate issue, urban and rural workers, family farming, and traditional communities. On the other hand, the participation of economic sectors that are not necessarily committed to the climate agenda was expanded, since their profitable activity is still heavily based, precisely, on the emission of greenhouse gases (GHG) that cause climate change.

The lack of representativeness of the new composition of the body and the absence of members specialized in the climate issue and directly interested in the fight against climate change have diverted the Management Committee from achieving its institutional purpose. So much so that the Fund's resources have been inappropriately invested since 2020.

The Climate Fund is one of the instruments of the National Policy on Climate Change and was created by Law 12114 on 12/09/2009, regulated by Decree 7343 of 10/26/2010, and currently governed by Decree 10143 of 11/28 /2019. It consists of an accounting fund, linked to the Ministry of the Environment with the purpose of guaranteeing resources to support projects or studies and financing of ventures that have the objective of mitigating climate change. The Management Committee of the National Fund on Climate Change was established by administrative ordinance of the Ministry of the Environment in 2020 (Ordinance number 515/2020) and, among other regulations, regulates the composition of the management staff, origin of their appointment and deliberative rules of their decisions.

Both devices have the function of disciplining the execution of Law No. 12,114/2009, which created the Climate Fund. Therefore, both Decree 10.143/2019 and Ordinance No. 515/2020 are the subject of ADPF 814, as their recent changes threaten the right to an ecologically balanced environment (art. 225 of the CF). Other fundamental precepts violated according to the authors were direct popular participation (art. 1, sole paragraph, 14 and 193, sole paragraph of the CF); the federative principle (art. 1, caput of the CF); in the principle of the prohibition of institutional setback (which arises from the rights enshrined in article 1, caput and item III; article 5, item XXXVI and  o; and article 60,  4, IV of the CF); the right to equality (art. 5, item I, of the CF); and the principles of transparency and efficiency of Public Administration (art. 37, caput of the CF).

In April 2021, Minister Gilmar Mendes did not acknowledge the lawsuit due to the illegitimacy of ABRAMPA to propose an Action of Claim for Noncompliance with a Fundamental Precept, based on Law no. 9,882/99 that in its art. 1, sole paragraph, I, and art. 4, 1, regulates art. 103, 1, of the Federal Constitution.

On appeal, the acknowledgement of the lawsuit was again denied in May 2021 in a session chaired by Minister Luiz Fux.
",Decided,['Brazil>Federal Supreme Court'],['Suits against governments>GHG emissions reduction and trading>Other'],['Brazil>Law of the Creation of the National Climate Change Fund  Federal Law 12.114/2009'],Change in the composition of the Climate Fund and allocation of resources.,https://climatecasechart.com/non-us-case/associacao-brasileira-dos-membros-do-ministerio-publico-de-meio-ambiente-vs-ministro-de-estado-do-meio-ambiente-adpf-814/
Public Ministry of the State of Sao Paulo v. United Airlines and Others (Airline Companies Case),"This is a Public Civil Action filed by the Public Ministry of the State of Sao Paulo (MPSP) against the company KLM - Cia Real Ho Holanda de Aviacao for alleged environmental damage resulting from commercial activities carried out by the defendant at Sao Paulo International Airport, in Cumbica, Garulhos, through the landing and take-off of their aircraft. 

The company is required to remediate or provide compensation for environmental damage, especially with regard to the emission of Greenhouse Gases (GHG). The initial petition requests an obligation of forest restoration in an area in the same hydrographic basin in sufficient quantity to fully absorb the emissions of GHGs and other pollutants resulting from the activity. In response, the company alleged that the applicant filed 35 actions identical to the present one and that the Sao Paulo State Court of Justice (TJSP), by design, recognized the ineptitude of 26 of the initial petitions and expressed the merits of the action in only one of the cases, case 224.01.2010.082070-8, proposed against EMIRATES AIRLINES, having dismissed the remaining requests. 

The company argued (i) its passive illegitimacy, given that it performs its activity in accordance with the determinations of the National Civil Aviation Agency (ANAC), and cannot be held responsible for complying with what is authorized and imposed by the Public Power; and (ii) legal impossibility of the request since there would be no illegal activity practiced by the Defendant. In the first instance, the Court understood that the Defendant had governmental authorization for the exercise of certain routes and the emissions resulting from the normal exercise of said activity would already be included in the scope of that authorization. On appeal before the TJSP (Appeal 0082072-08.2010.8.26.0224), the MPSP, on the merits, again requested the mitigation and repair of the environmental damage caused by the defendant. Subsequently, the National Civil Aviation Agency (ANAC) joined the action requesting the intervention as a third party and the remittance of the case to the federal court. 

A decision was handed down in the TJSP rejecting the preliminary presented by the MPSP and, in view of the ANAC's manifestation, it decided to refer the case to the Federal Regional Court of the 3rd Region (TRF-3). In this sense, it should be noted that the present action was initially filed in the State Court of Sao Paulo (TJSP), but was later referred to the Federal Court, due to the request for intervention by ANAC. The action was registered in the TRF-3 under the Civil Appeal number 0046991-68.2012.4.03.9999. Within the scope of the appeal, the TRF-3 decided to dismiss it, following the understanding of the court of origin, which understood that there was an environmental licensing process already carried out for Guarulhos Airport and authorization for the landing and take-off activity drawn up by ANAC . From this ruling, the MPSP filed a Special Appeal (REsp 1,856,031/SP) with the STJ, where there was a monocratic decision that followed the position of the court of origin in order to emphasize the specific regulation of the activity by ANAC and its efforts in terms of regarding the measurement and mitigation of emissions by the airline industry. It was understood that there would be no need to talk about an illicit act practiced by the business company (or even pollution), with the MPSP intending to impose an unforeseen regulation. After the decision, the REsp was written off to the court of origin. 

The present case is one among other similar ones proposed by the MPSP against more than 30 airlines that operated at Sao Paulo International Airport. The Public Prosecutor of Sao Paulo brought a group of several cases seeking to compel airlines that make use of the region's international airport to offset their emissions. The court consolidated the cases against the various defendants: United Airlines, TAAG Linhas Aereas de Angola, Delta Airlines, Cia. Mexicana, Emirates Airlines, Aerolineas Argentinas, and South African Airways. The means of offset requested was support for reforestation in the region. The court rejected the suits against several of the airlines on the grounds that it lacked jurisdiction over the claims.",Decided,"['Brazil>Superior Court of Justice', 'Brazil>Regional Federal Court, 3rd Region']","['Suits against corporations, individuals>Corporations>Climate damage', 'Suits against corporations, individuals>Corporations>GHG emissions reduction']","['Brazil>National Climate Change Policy (Law No. 12187 of 2009)', 'Brazil>National Environmental Policy Act (Law No. 6.938 of 1981)', 'Brazil>Constitution of 1988']",Whether airlines should remediate climate damage done during takeoff/landing given governmental authorization to perform such activities. ,https://climatecasechart.com/non-us-case/public-ministry-of-the-state-of-sao-paulo-v-klm/
